"EXP_39";"EXP_29";"EXP_42";"EXP_41";"EXP_3";"EXP_40";"EXP_38";"EXP_26";"EXP_1";"EXP_43";"EXP_7";"EXP_9";"EXP_8";"EXP_4";"EXP_19";"EXP_10";"EXP_17";"EXP_25";"EXP_45";"EXP_6";"EXP_2";"EXP_16";"EXP_13";"EXP_14";"EXP_11";"EXP_15";"EXP_12";"EXP_5";"EXP_18";"EXP_44";"EXP_28"
2.2102990000000000e-01;3.8489870000000002e-02;2.6448329999999998e-01;2.7641179999999999e-01;4.2116430000000003e-02;1.8549850000000001e-01;2.4547450000000001e-01;1.1377130000000001e-01;6.6789059999999997e-02;5.3158940000000002e-02;2.0578080000000001e-01;1.8404699999999999e-01;2.3160549999999999e-01;2.8365840000000000e-02;1.0115940000000000e-01;9.4773430000000006e-02;2.9376130000000000e-01;8.3446619999999999e-02;1.0499010000000000e-02;6.2323360000000001e-02;9.5830230000000002e-02;1.9278219999999999e-01;1.8903420000000001e-01;2.6079880000000000e-01;3.4328490000000000e-01;2.4055340000000000e-01;1.6632400000000000e-01;7.3109969999999996e-02;3.4397759999999999e-01;9.7633750000000005e-02;2.4666799999999999e-02
1.8016240000000000e-01;4.1892829999999999e-02;2.5084420000000002e-01;2.7190379999999997e-01;3.6228560000000000e-02;1.5784950000000000e-01;2.1085799999999999e-01;1.2939049999999999e-01;5.0726819999999999e-02;6.7206160000000001e-02;1.9276830000000000e-01;1.5404399999999999e-01;1.8422079999999999e-01;2.3320680000000000e-02;1.3840540000000001e-01;7.2782579999999999e-02;2.9297380000000001e-01;1.0213820000000000e-01;2.0135360000000001e-02;3.9216200000000000e-02;6.2530699999999995e-02;2.0502660000000000e-01;2.0439560000000001e-01;2.8695870000000001e-01;3.6398239999999998e-01;2.4473049999999999e-01;2.2333130000000001e-01;6.5641340000000006e-02;3.3540370000000003e-01;1.4188799999999999e-01;3.1096410000000001e-02
2.6994499999999999e-01;7.9178639999999995e-02;3.2548579999999999e-01;3.4146399999999999e-01;9.0208109999999994e-02;2.7238600000000002e-01;2.9513960000000000e-01;1.9437910000000000e-01;1.4359150000000001e-01;1.1430340000000000e-01;2.9803550000000001e-01;2.7390750000000003e-01;3.1225589999999998e-01;9.7492469999999998e-02;1.6325670000000000e-01;2.0559220000000000e-01;3.6219040000000002e-01;1.5646450000000001e-01;3.7119310000000003e-02;1.7992089999999999e-01;1.7567130000000000e-01;2.7263080000000001e-01;2.7660849999999998e-01;3.3141260000000000e-01;4.1467720000000002e-01;3.0187409999999998e-01;2.6761889999999999e-01;1.5506539999999999e-01;4.0794279999999999e-01;1.6670370000000001e-01;6.0427399999999999e-02
1.9809019999999999e-01;4.9520240000000000e-02;2.7244180000000001e-01;2.8845490000000001e-01;3.9749640000000003e-02;1.8785499999999999e-01;2.2323580000000001e-01;1.4869189999999999e-01;5.9079970000000002e-02;7.7559390000000006e-02;2.1337460000000000e-01;1.9523789999999999e-01;2.2058459999999999e-01;2.5702139999999998e-02;1.4399020000000001e-01;9.2986609999999997e-02;3.2155289999999997e-01;1.1469600000000001e-01;1.9663890000000000e-02;5.0073359999999997e-02;7.7817189999999994e-02;2.2359309999999999e-01;2.2205000000000000e-01;2.9228900000000002e-01;3.4898540000000000e-01;2.5440350000000000e-01;2.1966520000000000e-01;7.4410939999999995e-02;3.6684570000000000e-01;1.4242310000000000e-01;3.3976689999999997e-02
1.7656579999999999e-01;3.0712059999999999e-02;2.2771300000000000e-01;2.4085210000000001e-01;2.7732119999999999e-02;1.4532790000000001e-01;2.0016380000000000e-01;7.7184359999999994e-02;3.4043120000000003e-02;3.1556830000000001e-02;1.2020760000000000e-01;1.0000400000000000e-01;1.5685279999999999e-01;1.5838780000000000e-02;9.8860409999999996e-02;4.7486700000000000e-02;2.7508899999999997e-01;5.7964590000000003e-02;1.1124840000000000e-02;3.0278059999999999e-02;4.6383040000000000e-02;1.7366340000000000e-01;1.5990779999999999e-01;2.3996400000000001e-01;2.8634769999999998e-01;2.2057160000000001e-01;1.4261360000000001e-01;4.0553699999999998e-02;3.2503149999999997e-01;6.6377740000000005e-02;2.1471879999999999e-02
2.3805720000000000e-01;5.6181729999999999e-02;3.0120809999999998e-01;3.1471900000000003e-01;5.9679820000000001e-02;2.2600640000000000e-01;2.6249929999999999e-01;1.3976530000000001e-01;7.7914490000000003e-02;6.8462709999999996e-02;2.3503869999999999e-01;2.0027800000000001e-01;2.6087009999999999e-01;3.8781679999999999e-02;1.4899290000000001e-01;1.2196609999999999e-01;3.3835260000000000e-01;1.1006600000000000e-01;2.2487989999999999e-02;7.2184840000000000e-02;1.1406690000000000e-01;2.4505859999999999e-01;2.4124250000000000e-01;3.1076060000000000e-01;3.9299899999999999e-01;2.9163200000000000e-01;2.0689859999999999e-01;1.1182739999999999e-01;3.8441599999999998e-01;1.2567870000000000e-01;4.1212360000000003e-02
1.6346010000000000e-01;2.2038900000000000e-02;2.1961500000000000e-01;2.3702770000000001e-01;2.6955440000000001e-02;1.2003460000000001e-01;1.8610560000000001e-01;6.1246250000000002e-02;3.4122340000000001e-02;2.3095780000000000e-02;1.0819189999999999e-01;8.3055580000000004e-02;1.4126730000000001e-01;1.4775399999999999e-02;8.9118240000000001e-02;4.4034240000000002e-02;2.4148359999999999e-01;4.5057109999999997e-02;6.5720090000000002e-03;2.5436899999999998e-02;4.4105489999999997e-02;1.5251899999999999e-01;1.3895479999999999e-01;2.2905680000000000e-01;2.7063989999999999e-01;2.0829110000000001e-01;1.3259550000000001e-01;4.2054550000000003e-02;2.9972739999999998e-01;6.2152239999999997e-02;1.4587589999999999e-02
2.2058880000000000e-01;5.7438179999999998e-02;2.8701810000000000e-01;3.0145909999999998e-01;5.2453819999999998e-02;2.0992230000000001e-01;2.4507460000000000e-01;1.2279120000000000e-01;8.0473859999999994e-02;5.9243140000000000e-02;2.0712890000000000e-01;1.7035900000000001e-01;2.3481820000000000e-01;3.4231249999999998e-02;1.4188680000000001e-01;1.0409069999999999e-01;3.2572800000000002e-01;9.6273600000000001e-02;2.1527350000000001e-02;6.0325390000000000e-02;9.3054520000000002e-02;2.3064440000000000e-01;2.2684009999999999e-01;2.9967870000000002e-01;3.7313760000000001e-01;2.8007729999999997e-01;1.9626500000000000e-01;9.5664899999999997e-02;3.7352170000000001e-01;1.1510360000000000e-01;3.9322030000000001e-02
1.6205970000000000e-01;2.3045110000000001e-02;1.6589670000000001e-01;1.7184430000000001e-01;2.7681959999999999e-02;1.1230120000000000e-01;1.8575220000000001e-01;5.4687729999999997e-02;3.5911970000000001e-02;2.6280250000000002e-02;9.1276270000000007e-02;6.6748089999999996e-02;1.1947489999999999e-01;1.8495230000000001e-02;5.0308409999999998e-02;4.3106400000000003e-02;1.5942890000000001e-01;4.1491409999999999e-02;8.7401219999999995e-03;2.8101600000000001e-02;4.5273960000000002e-02;9.7289539999999994e-02;9.4328220000000004e-02;1.3519880000000001e-01;2.0053740000000000e-01;1.2987219999999999e-01;7.2443279999999999e-02;4.3480590000000000e-02;1.9659350000000000e-01;4.0338460000000000e-02;1.6877369999999999e-02
1.4859349999999999e-01;1.9607019999999999e-02;1.9751630000000001e-01;2.1183389999999999e-01;1.6196579999999999e-02;1.1991330000000000e-01;1.7284440000000001e-01;6.9174970000000002e-02;2.1958990000000001e-02;2.7769360000000000e-02;1.0466979999999999e-01;8.1866019999999998e-02;1.2888220000000000e-01;9.1443640000000003e-03;6.1168840000000002e-02;3.4139129999999997e-02;2.2006470000000000e-01;4.9525569999999998e-02;5.9328560000000002e-03;1.8799719999999999e-02;3.2871629999999999e-02;1.2532879999999999e-01;1.2169530000000001e-01;1.9322300000000001e-01;2.5559320000000002e-01;1.6957559999999999e-01;1.1900130000000000e-01;2.8813479999999999e-02;2.7025519999999997e-01;6.5074179999999995e-02;1.2268410000000000e-02
2.3028680000000001e-01;6.1325909999999997e-02;3.0142580000000002e-01;3.1744630000000001e-01;5.4331610000000002e-02;2.2526399999999999e-01;2.5559389999999998e-01;1.4486530000000000e-01;9.0641089999999994e-02;7.2665969999999996e-02;2.3215910000000001e-01;2.0624860000000000e-01;2.5289630000000002e-01;3.6230739999999997e-02;1.5112170000000000e-01;1.1643880000000000e-01;3.4105160000000001e-01;1.1381790000000000e-01;2.4012639999999998e-02;6.2492630000000000e-02;9.9891779999999999e-02;2.4669369999999999e-01;2.4894320000000000e-01;3.1984309999999999e-01;3.9718750000000003e-01;2.9536230000000002e-01;2.2165579999999999e-01;1.0874399999999999e-01;3.8964019999999999e-01;1.4237340000000001e-01;3.9848149999999999e-02
2.1296360000000000e-01;5.3688510000000002e-02;2.8467340000000002e-01;3.0282860000000000e-01;5.0634340000000000e-02;2.0936350000000001e-01;2.3874319999999999e-01;1.3451009999999999e-01;6.7603129999999997e-02;6.7648059999999996e-02;2.0951819999999999e-01;1.8211590000000000e-01;2.3124780000000000e-01;3.1945029999999999e-02;1.5075630000000001e-01;1.0279940000000000e-01;3.2759120000000003e-01;1.0630420000000000e-01;2.3182330000000001e-02;5.9381480000000000e-02;8.7319579999999994e-02;2.3714209999999999e-01;2.3144640000000000e-01;3.0797229999999998e-01;3.6987029999999999e-01;2.7965469999999998e-01;2.0979360000000000e-01;8.9979219999999999e-02;3.8127559999999999e-01;1.2701209999999999e-01;4.0553010000000000e-02
2.6401459999999999e-01;7.6060230000000006e-02;3.2720440000000001e-01;3.4008709999999998e-01;7.0629780000000003e-02;2.5791649999999999e-01;2.8785650000000002e-01;1.8792429999999999e-01;1.1046040000000000e-01;1.0577150000000000e-01;2.9437489999999999e-01;2.7333449999999998e-01;3.0326809999999998e-01;5.5730019999999998e-02;1.7808520000000000e-01;1.8928370000000000e-01;3.7459209999999998e-01;1.4945539999999999e-01;3.4342709999999999e-02;1.2143160000000000e-01;1.6370270000000001e-01;2.7839999999999998e-01;2.8056270000000000e-01;3.3637200000000000e-01;4.2473300000000003e-01;3.1029259999999997e-01;2.4873580000000001e-01;1.4129880000000000e-01;4.2002560000000000e-01;1.6080559999999999e-01;5.7222780000000001e-02
2.6825050000000000e-01;4.9996119999999998e-02;2.8756999999999999e-01;2.9579539999999999e-01;6.7124970000000006e-02;2.1495570000000000e-01;2.9347210000000001e-01;1.2893920000000000e-01;1.0393260000000000e-01;6.8448360000000000e-02;2.4277540000000000e-01;1.7183830000000000e-01;2.7493240000000002e-01;4.6890370000000001e-02;9.6344280000000004e-02;1.3296830000000001e-01;2.8441980000000000e-01;9.7747580000000001e-02;1.7492700000000000e-02;8.1919420000000007e-02;1.4522640000000001e-01;1.9428780000000001e-01;1.9647450000000000e-01;2.5797949999999997e-01;3.7552269999999999e-01;2.4387919999999999e-01;1.5852289999999999e-01;1.3181909999999999e-01;3.3223279999999999e-01;1.0288170000000001e-01;3.5709600000000001e-02
2.0748150000000001e-01;5.0989960000000001e-02;2.7875179999999999e-01;2.9482599999999998e-01;4.1117229999999998e-02;2.0029920000000001e-01;2.3291970000000001e-01;1.5498619999999999e-01;7.4193460000000003e-02;8.2734470000000004e-02;2.1980569999999999e-01;2.0957580000000001e-01;2.4382190000000001e-01;2.7734370000000001e-02;1.3177929999999999e-01;1.0922480000000000e-01;3.1917509999999999e-01;1.1862310000000000e-01;1.9053029999999999e-02;6.2101919999999998e-02;8.9316129999999994e-02;2.1895249999999999e-01;2.2581390000000001e-01;2.9106340000000003e-01;3.8562510000000000e-01;2.6204430000000001e-01;2.1413060000000000e-01;8.1467609999999996e-02;3.6557329999999999e-01;1.4230329999999999e-01;3.4253119999999998e-02
2.9370879999999999e-01;7.3288469999999994e-02;3.3444550000000001e-01;3.4356140000000002e-01;8.2244999999999999e-02;2.6378160000000000e-01;3.1824560000000002e-01;1.7594609999999999e-01;1.4185490000000001e-01;9.9242040000000004e-02;2.9893439999999999e-01;2.3609230000000000e-01;3.2972439999999997e-01;6.0859469999999999e-02;1.6129820000000000e-01;1.8980369999999999e-01;3.5627840000000000e-01;1.3811850000000001e-01;3.0348010000000002e-02;1.1002280000000000e-01;1.9389719999999999e-01;2.6870110000000003e-01;2.6709889999999997e-01;3.2669710000000002e-01;4.3107299999999998e-01;3.0972440000000001e-01;2.2486329999999999e-01;1.6962530000000001e-01;3.9868470000000000e-01;1.4346519999999999e-01;5.4058090000000003e-02
2.3115340000000001e-01;4.8552919999999999e-02;2.9535139999999999e-01;3.0933949999999999e-01;5.3843820000000001e-02;2.1883459999999999e-01;2.5625809999999999e-01;1.3720630000000000e-01;7.3883030000000002e-02;6.7341840000000000e-02;2.2701869999999999e-01;1.9606999999999999e-01;2.5085279999999999e-01;3.5481939999999997e-02;1.3819250000000000e-01;1.0643179999999999e-01;3.3219450000000000e-01;1.0355760000000000e-01;1.7598770000000000e-02;5.7750520000000000e-02;9.9383310000000002e-02;2.3475599999999999e-01;2.3375050000000000e-01;3.0490830000000002e-01;3.9170719999999998e-01;2.8130939999999999e-01;2.0107600000000000e-01;1.0529370000000000e-01;3.7806099999999998e-01;1.2580279999999999e-01;3.3556530000000001e-02
3.0212230000000001e-01;7.9590830000000001e-02;3.4946909999999998e-01;3.5832150000000001e-01;8.4287379999999995e-02;2.7809820000000002e-01;3.2539930000000000e-01;1.9752059999999999e-01;1.6424680000000000e-01;1.1513959999999999e-01;3.2326290000000002e-01;2.7972590000000003e-01;3.4704049999999997e-01;6.3790609999999998e-02;1.6696269999999999e-01;2.2333030000000001e-01;3.7295650000000002e-01;1.5507750000000001e-01;3.5655460000000000e-02;1.3348530000000000e-01;2.0837400000000000e-01;2.8195189999999998e-01;2.8293320000000000e-01;3.4010370000000001e-01;4.5235870000000000e-01;3.2341740000000002e-01;2.4072740000000001e-01;1.8887930000000000e-01;4.1697010000000001e-01;1.6279350000000001e-01;5.9164219999999997e-02
2.0983520000000000e-01;4.8563799999999997e-02;2.7159680000000003e-01;2.8563450000000001e-01;4.4554759999999999e-02;2.2512480000000001e-01;2.3429340000000001e-01;1.3464290000000001e-01;6.3391850000000000e-02;6.7187289999999997e-02;2.1507979999999999e-01;1.9090989999999999e-01;2.3035390000000000e-01;2.8108149999999998e-02;1.2703919999999999e-01;9.7235310000000005e-02;3.1527119999999997e-01;1.0324650000000000e-01;1.7927499999999999e-02;5.4841750000000002e-02;9.3364950000000002e-02;2.1520449999999999e-01;2.1596409999999999e-01;2.8605659999999999e-01;3.6516140000000002e-01;2.4935180000000001e-01;1.9466000000000000e-01;8.3718490000000007e-02;3.6215999999999998e-01;1.2235269999999999e-01;3.3967509999999999e-02
2.0192040000000000e-01;5.5371690000000001e-02;2.7443659999999998e-01;2.9057349999999998e-01;4.5890199999999999e-02;1.9085269999999999e-01;2.2617650000000000e-01;1.4784829999999999e-01;6.4230369999999995e-02;7.8143720000000000e-02;2.1573300000000001e-01;1.9520620000000000e-01;2.2506309999999999e-01;2.9200970000000000e-02;1.3549280000000000e-01;1.0201800000000000e-01;3.1862900000000000e-01;1.1742160000000000e-01;2.5167350000000002e-02;5.7412909999999998e-02;8.4278980000000003e-02;2.2300650000000000e-01;2.2018960000000001e-01;2.8995149999999997e-01;3.6714130000000000e-01;2.5447890000000001e-01;2.1315100000000001e-01;8.5734089999999999e-02;3.6391630000000003e-01;1.4001859999999999e-01;4.1495430000000000e-02
3.0131829999999998e-01;8.5656850000000007e-02;3.5107030000000000e-01;3.6055050000000000e-01;8.9527360000000000e-02;2.8132810000000003e-01;3.2576260000000001e-01;2.0304759999999999e-01;1.5908349999999999e-01;1.1945140000000000e-01;3.2569799999999999e-01;2.7041280000000001e-01;3.4712100000000001e-01;6.8847270000000002e-02;1.7987739999999999e-01;2.0948600000000001e-01;3.7953340000000002e-01;1.6265170000000001e-01;4.0634459999999997e-02;1.2993720000000000e-01;2.1254719999999999e-01;2.9188560000000002e-01;2.9086960000000001e-01;3.4672690000000000e-01;4.5866899999999999e-01;3.2822319999999999e-01;2.4973670000000001e-01;1.8740070000000000e-01;4.2266700000000001e-01;1.6800229999999999e-01;6.5602250000000001e-02
2.6421099999999997e-01;6.1145180000000000e-02;3.1553100000000001e-01;3.2618799999999998e-01;7.1626700000000001e-02;2.4220059999999999e-01;2.8917120000000002e-01;1.6162299999999999e-01;9.9957720000000000e-02;8.5709679999999996e-02;2.7120179999999999e-01;2.2260959999999999e-01;3.0036649999999998e-01;4.8361660000000001e-02;1.3554869999999999e-01;1.4739110000000000e-01;3.3840209999999998e-01;1.2434729999999999e-01;2.4153460000000002e-02;8.7264309999999998e-02;1.5188240000000000e-01;2.4506820000000001e-01;2.4598510000000001e-01;3.0860130000000002e-01;4.1762899999999997e-01;2.9085070000000002e-01;2.0574970000000001e-01;1.4209379999999999e-01;3.8422509999999999e-01;1.3653090000000001e-01;4.3652610000000001e-02
2.2666240000000001e-01;5.4072149999999999e-02;2.9784650000000001e-01;3.1698959999999998e-01;5.2162680000000003e-02;2.2348899999999999e-01;2.5174029999999997e-01;1.5357840000000000e-01;7.1903620000000001e-02;8.0249100000000004e-02;2.3079930000000001e-01;2.1441800000000000e-01;2.4838230000000000e-01;3.3160710000000003e-02;1.5754260000000000e-01;1.1207410000000000e-01;3.4592390000000001e-01;1.2009889999999999e-01;2.4543590000000001e-02;5.8943420000000003e-02;9.2192899999999994e-02;2.4917780000000000e-01;2.5096760000000001e-01;3.2315470000000002e-01;4.0401389999999998e-01;2.9259259999999998e-01;2.2940220000000000e-01;9.7802399999999998e-02;3.8990069999999999e-01;1.5049840000000000e-01;3.9391990000000002e-02
1.1756940000000000e-01;2.3732949999999999e-02;1.8191450000000001e-01;2.0389040000000000e-01;1.5338289999999999e-02;1.0542310000000001e-01;1.4424250000000000e-01;9.4063179999999996e-02;2.2532910000000000e-02;4.4877260000000002e-02;1.1155089999999999e-01;8.8506119999999994e-02;1.1597780000000001e-01;9.4384359999999997e-03;7.4383560000000001e-02;3.6371830000000001e-02;2.1851550000000000e-01;7.0410920000000002e-02;8.9898470000000005e-03;1.7197150000000001e-02;2.7159130000000000e-02;1.3052980000000000e-01;1.3200080000000000e-01;2.0468790000000001e-01;2.3984559999999999e-01;1.6355549999999999e-01;1.5590340000000000e-01;2.4668329999999999e-02;2.6450420000000002e-01;9.7777680000000006e-02;1.5830139999999999e-02
2.3012320000000000e-01;5.1842939999999997e-02;2.7402880000000002e-01;2.8497660000000002e-01;5.6116979999999997e-02;1.9899339999999999e-01;2.5358779999999997e-01;1.2273990000000000e-01;7.1266520000000000e-02;6.2704730000000000e-02;2.0814769999999999e-01;1.7196170000000000e-01;2.3847130000000000e-01;3.6991730000000000e-02;1.0493280000000001e-01;1.0652810000000000e-01;2.8702990000000000e-01;9.7461309999999995e-02;2.2629340000000001e-02;6.5618540000000003e-02;1.0374540000000000e-01;1.9575460000000000e-01;1.9456809999999999e-01;2.5635360000000001e-01;3.6245260000000001e-01;2.3996690000000001e-01;1.6051789999999999e-01;9.9390220000000001e-02;3.3701160000000002e-01;1.0329070000000000e-01;4.0083080000000000e-02
2.7075389999999999e-01;6.0960920000000002e-02;3.0030780000000001e-01;3.0916600000000000e-01;7.1744959999999997e-02;2.2786750000000000e-01;2.9480909999999999e-01;1.3760190000000000e-01;1.1018740000000000e-01;7.2230829999999996e-02;2.4989159999999999e-01;1.8904750000000001e-01;2.8769820000000002e-01;4.8585929999999999e-02;1.3357250000000001e-01;1.4612670000000000e-01;3.2317930000000000e-01;1.0795780000000001e-01;2.3970999999999999e-02;8.9781280000000005e-02;1.4697310000000000e-01;2.3158070000000000e-01;2.2316540000000001e-01;2.8894039999999999e-01;3.8679419999999998e-01;2.7514509999999998e-01;1.8306980000000000e-01;1.3474990000000001e-01;3.6862790000000001e-01;1.0785340000000000e-01;4.5856639999999997e-02
